Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",603,2,3.3 uF,C5360803
"C10, C11, C13, C2, C9",402,5,1uF,C52923
C12,402,1,100nF,C1525
C3,603,1,0.1 uF,C14663
D1,603,1,Green,C2288
D2,D_SOD-323F,1,15V,C891582
D3,603,1,Red,C2286
IC1,CYPD3177,1,CYPD3177,C2959321
"J1, J2",PinHeader_2x03_P2.54mm_Vertical_SMD,2,Conn_02x02_Counter_Clockwise,C3294461
J4,TerminalBlock_4Ucon_1x02_P3.50mm_Vertical,1,Conn_01x02_Pin,
J6,PinHeader_1x04_P2.54mm_Horizontal,1,Output,
N21,PinSocket_1x02_P2.54mm_Vertical_SMD_Pin1Left,1,Conn_01x02_Pin,
P1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB Type C,C2927038
"Q2, Q3",Diodes_PowerDI3333-8,2,DMP3013,C264098
"R10, R17, R1",402,2,1k,C11702
R11,402,1,2k,C4109
"R16, R18, R20, R21, R30",402,5,5.1k,C25905
"R19, R31",402,2,2.4k,C25882
"R4, R8",402,2,10k,C25744
R9,402,1,49.9k,C25897
SW1,SW_DIP_SPSTx05_Slide_9.78x14.88mm_W8.61mm_P2.54mm,1,SW_DIP_x05,C7471375
