Designator,Mid X,Mid Y,Rotation,Layer
C1,170.853178,-106.19075,270,top
C10,155.285178,-102.77925,0,bottom
R1,155.285178,-104.99925,0,bottom
C11,155.285178,-104.99925,0,bottom
C12,155.285178,-103.88925,0,bottom
C13,155.285178,-101.65975,0,bottom
C2,151.947178,-104.44775,0,bottom
C3,170.853178,-100.49775,90,top
C4,141.624178,-103.36625,270,top
C9,151.953178,-105.55975,180,bottom
D1,143.082178,-107.74775,0,top
D2,149.953178,-103.36375,270,bottom
D3,146.745178,-107.74775,0,top
IC1,159.324178,-103.35075,270,bottom
J1,174.813178,-103.36375,0,bottom
J2,130.313178,-103.36375,0,bottom
J4,136.603178,-103.36625,270,top
J6,152.613178,-107.74775,270,top
N21,128.733178,-103.36375,180,top
P1,176.723178,-103.36625,90,top
Q2,149.789178,-101.85825,0,top
Q3,144.829178,-101.86075,180,top
R10,151.945178,-101.11375,0,bottom
R11,146.725178,-107.74775,0,bottom
R16,167.653178,-105.57775,180,bottom
R17,167.653178,-104.39775,0,bottom
R18,167.653178,-101.86175,180,bottom
R19,167.653178,-103.14775,0,bottom
R20,164.883178,-105.57775,180,bottom
R21,164.883178,-104.39775,0,bottom
R30,164.883178,-103.11175,180,bottom
R31,164.883178,-101.86175,0,bottom
R4,143.082178,-107.74775,0,bottom
R8,151.953178,-103.34175,180,bottom
R9,151.959178,-102.23875,0,bottom
SW1,163.203178,-103.34775,270,top
