Comment,Designator,Footprint,LCSC,Quantity
AON7534,"U5,U7",TRANS_AON7408,C115844,2
1k,R19,R_0402_1005Metric,C11702,1
10uF,"C27,C28,C7",C_1206_3216Metric,C13585,3
330k,R21,R_0402_1005Metric,C138006,1
27R,R20,R_0402_1005Metric,C138021,1
TPD4E05U06DQAR,D3,IC_TPD4E05U06DQAR,C138714,1
1nF,C22,C_0402_1005Metric,C1523,1
100nf,C23,C_0402_1005Metric,C1525,1
22nF,C8,C_0402_1005Metric,C1532,1
1u,"C14,C16,C18",C_0402_1005Metric,C15849,3
QWIIC,J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,C160404,1
3.3u,L1,L_Changjiang_FXL0420,C167207,1
TPS16630RGER,IC1,QFN50P400X400X100-25N,C1850279,1
Power LED,D1,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C205450,1
TPS2117DRL,U8,SOT-583-8,C22399676,1
Failure LED,D2,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,C2286,1
Status LED,D4,LED_0603_1608Metric,C2290,1
B3U-1000P,SW2,KEY-SMD_B3U-1000PM,C231329,1
4.7uF,C6,C_0402_1005Metric,C23733,1
100Ω,"R7,R8",R_0402_1005Metric,C25076,2
470Ω,"R11,R5",R_0402_1005Metric,C25117,2
10k,"R1,R10,R12,R13,R16,R2,R24,R25,R26,R28,R29,R3,R30,R31,R32,R34,R35,R36,R6,R9",R_0402_1005Metric,C25744,20
150k,R22,R_0402_1005Metric,C25755,1
20k,R23,R_0402_1005Metric,C25765,1
22k,R27,R_0402_1005Metric,C25768,1
3.3k,R4,R_0402_1005Metric,C25890,1
5.1k,"R14,R15",R_0402_1005Metric,C25905,2
52.3k,R18,R_0402_1005Metric,C26982,1
100uf_35V,C26,CP_Elec_6.3x7.7,C2836437,1
USB_C_USB2.0_14P,J1,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C2848971,1
INA237,U2,VSSOP-10_3x3mm_P0.5mm,C2864837,1
TCA9406YZPR,U1,TCA9406,C2871137,1
5m,"R17,R33",R_1206_3216Metric,C2988648,2
XC6220B331PR-G,U3,SOT-89-5_TOR,C3013658,1
GT-TC0060-H050-L1,SW1,SW-SMD_GT-TC0060-H050-L1,C3019726,1
100nF,"C1,C11,C13,C15,C17,C2,C20,C25,C3",C_0402_1005Metric,C307331,9
TPS62933PDRLR,U4,SOFL50P160X60-8N,C3200405,1
TPS22992SRXNR,IC2,TPS22992SRXNR,C3229354,1
22uF,"C10,C12",C_1206_3216Metric,C342620,2
22u,C24,C_1206_3216Metric,C45783,1
1uF,C19,C_0402_1005Metric,C513774,1
1uF,C21,C_0402_1005Metric,C6119811,1
ATtiny3217-M,U9,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,C617969,1
Thermistor_NTC_10k_0402,TH1,R_0402_1005Metric,C77131,1
Conn_01x02_Pin,J2,TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal,C918120,1
10uF,C4,C_0603_1608Metric,C96446,1
PMEG6020ER,"D5,D6,D7",D_SOD-123F,C98663,3
AP33772S,U6,QFN-24-1EP_4x4mm_P0.5mm_EP2.65x2.65mm,C9900152998,1
Conn_01x05,J7,PinHeader_1x05_P2.54mm_Vertical,,1
0.91 OLED,J5,SSD1306-0.91-OLED-4pin-128x32,,1
2N7002DW,Q1,SOT-363_SC-70-6,,1
I2C_3.3V,J8,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_02x05_Odd_Even,J4,PinHeader_2x05_P2.54mm_Vertical_SMD,,1
Conn_02x05_Odd_Even,J3,PinHeader_2x05_P2.54mm_Vertical_SMD,,1
