Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C10,100nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,149.68,-111.2675,90.0,top
C11,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,140.55,-108.3925,-90.0,top
C12,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,129.84,-112.1975,-90.0,top
C3,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,154.3225,-117.95,180.0,top
C4,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,134.725,-116.92,90.0,top
C5,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,136.78075,-116.9225,90.0,top
C6,4.7uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,135.75,-116.9225,90.0,top
C9,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,132.53,-108.3,0.0,top
D7,Red Failure LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,151.70575,-108.575,0.0,top
D8,Green Power LED,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,146.50575,-108.575,180.0,top
J9,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_XKB_U262-16XN-4BVC11,158.42575,-113.005,90.0,top
Q2,AONR21357,TRANS_AONR21307,139.30325,-116.5,180.0,top
Q9,AO3400A,SOT-23,147.2925,-112.41,0.0,top
R12,10kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,153.71,-116.06,90.0,top
R13,5.1kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,144.74325,-117.275,90.0,top
R14,49.9kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.54325,-117.275,-90.0,top
R15,10kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.25,-109.3,180.0,top
R16,6.04kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,114.2,-107.85,0.0,top
R18,17.8kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.25,-108.3,180.0,top
R22,150Ω,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,149.30575,-108.5725,-90.0,top
R25,220Ω,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,143.13575,-107.905,180.0,top
R26,31.6 kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.82,-111.9875,90.0,top
R27,13.7kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,131.42,-117.7975,-90.0,top
R28,5kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,130.47,-117.7975,90.0,top
R29,100kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,133.675,-116.9225,90.0,top
R30,5kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,132.36,-117.7975,90.0,top
R31,10kΩ,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,114.2,-109.15,180.0,top
SW1,SW_DIP_x05,SW_DIP_SPSTx05_Slide_6.7x14.26mm_W8.61mm_P2.54mm_LowProfile,121.71575,-113.67,90.0,top
U1,TPS2121,IC_TPS2121RUXR,131.46,-115.0,0.0,top
U2,NCP1117-3.3_SOT223,SOT-223-3_TabPin2,135.8,-110.91,180.0,top
U3,HUSB238_USB_PD,DFN-10-1EP_3x3mm_P0.5mm_EP1.55x2.48mm,148.39325,-116.8775,180.0,top
U4,USBLC6,SOT-23-6,152.76825,-113.075,0.0,top
